総合判定,台数判定,容量判定,名称判定,機器ID照合,判定理由,機器ID,機器表 記載名,盤表 記載名,機器表 台数,盤表 台数,台数差,機器表 消費電力(kW),機器表 モード容量(kW),機器表 判定モード,機器表 判定採用容量(kW),容量判定補足,盤表 容量(kW),容量差(kW),機器表 図面番号,盤表 図面番号,盤表 記載トレース
✗,✗,◯,✗,◯,台数差分=1,SF-P-1,送風機,"送風機,給気ファン",1,2,1,1.15,,単一値,1.15,単一数値を採用,1.15,0,M-03-01,"E-024,E-031",図面:E-024 名称:送風機 容量:1.15 || 図面:E-031 名称:給気ファン 容量:1.15
✗,✗,◯,◯,◯,台数差分=1,SF-B2-1,送風機,送風機,1,2,1,0.54,,単一値,0.54,単一数値を採用,0.54,0,M-03-01,"E-024,E-032",図面:E-024 名称:送風機 容量:0.54 || 図面:E-032 名称:送風機 容量:0.54
✗,✗,◯,◯,◯,台数差分=1,SF-B2-2,送風機,送風機,1,2,1,0.6,,単一値,0.6,単一数値を採用,0.6,0,M-03-01,"E-024,E-032",図面:E-024 名称:送風機 容量:0.6 || 図面:E-032 名称:送風機 容量:0.6
✗,✗,✗,◯,◯,台数差分=1,SF-B2-3,送風機,送風機,1,2,1,0.91,,単一値,0.91,単一数値を採用,0.535,-0.375,M-03-01,"E-024,E-032",図面:E-024 名称:送風機 容量:0.535 || 図面:E-032 名称:送風機 容量:0.535
✗,✗,◯,◯,◯,台数差分=1,SF-B2-4,送風機,送風機,1,2,1,0.535,,単一値,0.535,単一数値を採用,0.535,0,M-03-01,"E-024,E-032",図面:E-024 名称:送風機 容量:0.535 || 図面:E-032 名称:送風機 容量:0.535
✗,✗,✗,✗,✗,盤表に記載なし,SF-B2-5,送風機,,1,0,-1,0.385,,単一値,0.385,単一数値を採用,,,M-03-01,,
✗,✗,◯,◯,◯,台数差分=3,SF-B2-6,送風機,送風機,3,6,3,2.2,,単一値,2.2,単一数値を採用,2.2,0,M-03-01,"E-024,E-033",図面:E-024 名称:送風機 容量:2.2 x3 || 図面:E-033 名称:送風機 容量:2.2 x3
✗,✗,✗,✗,✗,盤表に記載なし,SF-B2-7,送風機,,1,0,-1,0.385,,単一値,0.385,単一数値を採用,,,M-03-01,,
✗,✗,✗,✗,✗,盤表に記載なし,SF-B1-1,送風機,,1,0,-1,0.22,,単一値,0.22,単一数値を採用,,,M-03-01,,
✗,✗,✗,✗,✗,盤表に記載なし,SF-B1-2,送風機,,1,0,-1,0.22,,単一値,0.22,単一数値を採用,,,M-03-01,,
✗,✗,✗,✗,✗,盤表に記載なし,SF-1-1,送風機,,1,0,-1,0.22,,単一値,0.22,単一数値を採用,,,M-03-01,,
✗,✗,◯,◯,◯,台数差分=1,SF-1-2,送風機,送風機,1,2,1,0.535,,単一値,0.535,単一数値を採用,0.535,0,M-03-01,"E-024,E-034",図面:E-024 名称:送風機 容量:0.535 || 図面:E-034 名称:送風機 容量:0.535
✗,✗,✗,✗,✗,盤表に記載なし,SF-11-1,送風機,,1,0,-1,0.175,,単一値,0.175,単一数値を採用,,,M-03-01,,
✗,✗,◯,◯,◯,台数差分=1,SF-R-1,送風機,送風機,1,2,1,2.2,,単一値,2.2,単一数値を採用,2.2,0,M-03-01,"E-025,E-044",図面:E-025 名称:送風機 容量:2.2 || 図面:E-044 名称:送風機 容量:2.2
◯,◯,◯,◯,◯,,SF-R-2,送風機,送風機,1,1,0,1.5,,単一値,1.5,単一数値を採用,1.5,0,M-03-01,E-044,
✗,✗,✗,✗,✗,盤表に記載なし,OF-1-1,送風機,,1,0,-1,0.22,,単一値,0.22,単一数値を採用,,,M-03-01,,
◯,◯,◯,◯,◯,,EF-P-1,排風機,排風機,1,1,0,0.91,,単一値,0.91,単一数値を採用,0.91,0,M-03-01,E-024,
✗,✗,◯,◯,◯,台数差分=1,EF-B2-1,排風機,排風機,1,2,1,0.54,,単一値,0.54,単一数値を採用,0.54,0,M-03-01,"E-024,E-032",図面:E-024 名称:排風機 容量:0.54 || 図面:E-032 名称:排風機 容量:0.54
